price,used,milage,transmission,colour,engine_capacity,horsepower,fuel_type,tax,state,year
6940000,1,82040,автоматическая,синий,3.0,249,Дизель,18675,Не требует ремонта,2019
15490000,0,15,автоматическая,чёрный,3.0,381,Бензин,57150,Не требует ремонта,2023
7700000,1,44140,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
13990000,0,18,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
8990000,1,62000,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2021
8850000,1,73160,автоматическая,зелёный,3.0,249,Дизель,18675,Не требует ремонта,2021
4499000,1,154500,автоматическая,серый,2.0,231,Дизель,17325,Не требует ремонта,2018
6750000,1,134500,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
7890000,1,68477,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2020
3790000,1,168950,автоматическая,серебристый,3.0,249,Дизель,18675,Не требует ремонта,2015
7816000,1,78132,автоматическая,зелёный,3.0,249,Дизель,18675,Не требует ремонта,2020
5890000,1,76000,автоматическая,белый,3.0,265,Дизель,39750,Не требует ремонта,2019
16500000,0,23,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
1760000,1,240000,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2007
6770000,1,70000,автоматическая,серый,3.0,265,Дизель,39750,Не требует ремонта,2019
14950000,0,15,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
15500000,0,5,автоматическая,серый,3.0,298,Дизель,44700,Не требует ремонта,2023
4090000,1,160000,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2017
16499999,0,55,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2024
15500000,0,15,автоматическая,пурпурный,3.0,298,Дизель,44700,Не требует ремонта,2023
8990000,1,62000,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2021
13990000,0,18,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
4200000,1,130723,автоматическая,чёрный,3.0,381,Дизель,57150,Не требует ремонта,2016
6777000,1,127358,автоматическая,белый,3.0,400,Дизель,60000,Не требует ремонта,2019
3599000,1,164000,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2016
6250000,1,96000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
3999000,1,106578,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2018
15999999,0,55,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2024
6250000,1,102782,автоматическая,синий,3.0,340,Бензин,51000,Не требует ремонта,2020
15999999,0,55,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2024
9787000,1,10936,автоматическая,серый,3.0,340,Бензин,51000,Не требует ремонта,2022
8730000,1,56099,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2021
1805000,1,273992,автоматическая,чёрный,3.0,272,Бензин,40800,Не требует ремонта,2007
3999000,1,133000,автоматическая,чёрный,3.0,313,Дизель,46950,Не требует ремонта,2017
4195000,1,135157,автоматическая,белый,3.0,313,Дизель,46950,Не требует ремонта,2016
13498000,0,84,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
15999999,0,55,автоматическая,серый,3.0,352,Дизель,52800,Не требует ремонта,2024
3655000,1,183779,автоматическая,чёрный,3.0,381,Дизель,57150,Не требует ремонта,2013
2295000,1,165879,автоматическая,белый,3.0,306,Бензин,45900,Не требует ремонта,2013
14000000,0,60,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2022
6799000,1,122100,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2019
1977000,1,184848,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2007
1678000,1,184311,автоматическая,белый,3.0,272,Бензин,40800,Не требует ремонта,2010
8730000,1,56099,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2021
3994000,1,131106,автоматическая,чёрный,3.0,306,Бензин,45900,Не требует ремонта,2017
7200000,1,85668,автоматическая,синий,4.4,462,Бензин,69300,Не требует ремонта,2018
3959000,1,114000,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2017
8960000,1,77799,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
17400000,0,30,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
13498000,0,84,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
15999999,0,55,автоматическая,серый,3.0,352,Дизель,52800,Не требует ремонта,2024
15500000,0,30,автоматическая,белый,3.0,381,Бензин,57150,Не требует ремонта,2023
7750000,1,67635,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2019
8577000,1,52000,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2020
7099000,1,86291,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2019
7650000,1,45029,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2019
4299000,1,127709,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2018
14390000,1,155,автоматическая,серый,3.0,381,Бензин,57150,Не требует ремонта,2023
15500000,0,30,автоматическая,белый,3.0,381,Бензин,57150,Не требует ремонта,2023
4197700,1,94559,автоматическая,серый,3.0,218,Дизель,14170,Не требует ремонта,2017
8274000,1,89544,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
11790000,1,123,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2022
6600000,1,105000,автоматическая,серый,3.0,265,Дизель,39750,Не требует ремонта,2020
4197700,1,97949,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2013
11850000,0,18,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
10299000,1,66119,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2020
11749000,1,14478,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2022
1786000,1,237000,автоматическая,чёрный,3.0,231,Дизель,17325,Не требует ремонта,2007
3090000,1,135783,автоматическая,белый,4.4,450,Бензин,67500,Не требует ремонта,2014
3250000,1,92911,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2015
2895000,1,258000,автоматическая,серый,3.0,245,Дизель,18375,Не требует ремонта,2011
4099000,1,123001,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2017
6573000,1,67705,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
2690000,1,233403,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2013
8840000,1,28200,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2022
3344000,1,133109,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2015
4190000,1,146730,автоматическая,синий,3.0,381,Дизель,57150,Не требует ремонта,2016
3790000,1,97995,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2015
7150000,1,29485,автоматическая,синий,3.0,340,Бензин,51000,Не требует ремонта,2020
7899000,1,51300,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2020
10299000,1,66119,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2020
11749000,1,14478,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2022
1786000,1,237000,автоматическая,чёрный,3.0,231,Дизель,17325,Не требует ремонта,2007
3090000,1,135783,автоматическая,белый,4.4,450,Бензин,67500,Не требует ремонта,2014
8600000,1,27000,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
3250000,1,92911,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2015
4099000,1,123001,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2017
6573000,1,67705,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
1550000,1,330000,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2009
4300000,1,132000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2015
2690000,1,233403,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2013
7950000,1,90000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
7300000,1,98000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2020
3344000,1,133109,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2015
4190000,1,146730,автоматическая,синий,3.0,381,Дизель,57150,Не требует ремонта,2016
14490000,1,2400,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2023
3790000,1,97995,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2015
7150000,1,29485,автоматическая,синий,3.0,340,Бензин,51000,Не требует ремонта,2020
7900000,1,54000,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2019
5050000,1,114000,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2018
3988000,1,110353,автоматическая,белый,3.0,218,Дизель,16350,Не требует ремонта,2017
6300000,1,122826,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
6690000,1,133713,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2019
3799000,1,124051,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2014
7899000,1,51300,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2020
8600000,1,27000,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
1550000,1,330000,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2009
4369000,1,118950,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2016
4300000,1,132000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2015
7950000,1,90000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
7300000,1,98000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2020
4397000,1,135380,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2016
14490000,1,2400,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2023
7900000,1,54000,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2019
3945000,1,128837,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2013
12300000,1,18200,автоматическая,серебристый,3.0,381,Бензин,57150,Не требует ремонта,2023
7465000,1,42909,автоматическая,серый,3.0,265,Дизель,39750,Не требует ремонта,2019
4490000,1,136939,автоматическая,чёрный,3.0,313,Дизель,46950,Не требует ремонта,2015
5050000,1,114000,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2018
4950000,1,84000,автоматическая,чёрный,3.0,258,Дизель,38700,Не требует ремонта,2018
14700000,0,45,автоматическая,белый,3.0,298,Дизель,44700,Не требует ремонта,2023
2897000,1,193161,автоматическая,белый,3.0,245,Дизель,18375,Не требует ремонта,2013
6500000,1,124000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2018
14000000,0,12,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
10143000,1,16250,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2021
2359000,1,151565,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2013
1927000,1,257149,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2008
4800000,1,153300,автоматическая,белый,3.0,313,Дизель,46950,Не требует ремонта,2016
12950000,0,20,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
2830000,1,193215,автоматическая,серый,3.0,306,Бензин,45900,Не требует ремонта,2015
14300000,0,84,автоматическая,белый,3.0,298,Дизель,44700,Не требует ремонта,2023
15950000,0,30,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2023
1490000,1,456656,автоматическая,синий,3.0,235,Дизель,17625,Не требует ремонта,2007
8754000,1,31874,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
2050000,1,302000,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2007
7899000,1,51300,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2020
8600000,1,27000,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
1550000,1,330000,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2009
4300000,1,132000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2015
15950000,0,17,автоматическая,чёрный,4.4,530,Бензин,79500,Не требует ремонта,2023
7950000,1,90000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
3099000,1,129594,автоматическая,белый,3.0,306,Бензин,45900,Не требует ремонта,2016
7300000,1,98000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2020
1798000,1,243725,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2013
5030000,1,93746,автоматическая,чёрный,3.0,313,Дизель,46950,Не требует ремонта,2016
9290000,1,42310,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2020
1420000,1,161846,автоматическая,белый,4.4,407,Бензин,61050,Не требует ремонта,2012
6197000,1,80304,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2019
6428000,1,122742,автоматическая,синий,3.0,249,Дизель,18675,Не требует ремонта,2019
1779000,1,197512,автоматическая,коричневый,3.0,269,Дизель,40350,Не требует ремонта,2010
1748000,1,324378,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2009
10143000,1,16250,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2021
3050000,1,230000,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2015
17100000,0,45,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
2359000,1,151565,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2013
1927000,1,257149,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2008
4800000,1,153300,автоматическая,белый,3.0,313,Дизель,46950,Не требует ремонта,2016
1000000,1,460000,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2005
2830000,1,193215,автоматическая,серый,3.0,306,Бензин,45900,Не требует ремонта,2015
14300000,0,84,автоматическая,белый,3.0,298,Дизель,44700,Не требует ремонта,2023
5250000,1,71000,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2016
15950000,0,30,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2023
1490000,1,456656,автоматическая,синий,3.0,235,Дизель,17625,Не требует ремонта,2007
8999000,1,16459,автоматическая,белый,3.0,265,Дизель,39750,Не требует ремонта,2020
8754000,1,31874,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
2359000,1,151565,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2013
1927000,1,257149,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2008
3500000,1,149000,автоматическая,чёрный,3.0,381,Дизель,57150,Не требует ремонта,2014
4800000,1,153300,автоматическая,белый,3.0,313,Дизель,46950,Не требует ремонта,2016
2830000,1,193215,автоматическая,серый,3.0,306,Бензин,45900,Не требует ремонта,2015
1600000,1,193000,автоматическая,белый,3.0,306,Бензин,45900,Не требует ремонта,2010
14300000,0,84,автоматическая,белый,3.0,298,Дизель,44700,Не требует ремонта,2023
15950000,0,30,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2023
1870000,1,100800,автоматическая,белый,4.4,407,Бензин,61050,Не требует ремонта,2013
1490000,1,456656,автоматическая,синий,3.0,235,Дизель,17625,Не требует ремонта,2007
8754000,1,31874,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
15950000,0,17,автоматическая,чёрный,4.4,530,Бензин,79500,Не требует ремонта,2023
3099000,1,129594,автоматическая,белый,3.0,306,Бензин,45900,Не требует ремонта,2016
1798000,1,243725,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2013
12300000,1,10000,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
3950000,1,119764,автоматическая,чёрный,3.0,313,Дизель,46950,Не требует ремонта,2017
6480000,1,85090,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2020
2009900,1,152671,автоматическая,чёрный,3.0,306,Бензин,45900,Не требует ремонта,2011
8129900,1,11988,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2022
5948000,1,125112,автоматическая,белый,3.0,265,Дизель,39750,Не требует ремонта,2019
4199000,1,99115,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2017
11290000,1,12168,автоматическая,серый,3.0,286,Дизель,42900,Не требует ремонта,2022
13690000,0,19,автоматическая,белый,3.0,298,Дизель,44700,Не требует ремонта,2023
2280000,1,219649,автоматическая,чёрный,3.0,306,Дизель,45900,Не требует ремонта,2011
7950000,1,40723,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2021
3850000,1,86100,автоматическая,чёрный,3.0,306,Бензин,45900,Не требует ремонта,2016
2250000,1,140553,автоматическая,чёрный,3.0,306,Бензин,45900,Не требует ремонта,2010
8117000,1,61920,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2020
5039900,1,123994,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2018
3490000,1,140016,автоматическая,серебристый,3.0,306,Бензин,45900,Не требует ремонта,2015
6199000,1,83854,автоматическая,синий,3.0,249,Дизель,18675,Не требует ремонта,2019
6000000,1,186000,автоматическая,белый,3.0,400,Дизель,60000,Не требует ремонта,2019
1500000,1,245000,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2010
15990000,0,50,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
14400000,0,1,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
12400000,0,30,автоматическая,белый,3.0,298,Дизель,44700,Не требует ремонта,2023
2430000,1,237000,автоматическая,серый,3.0,245,Дизель,18375,Не требует ремонта,2011
3800000,1,241500,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2014
3199000,1,133000,автоматическая,серый,3.0,306,Бензин,45900,Не требует ремонта,2016
3500000,1,149000,автоматическая,чёрный,3.0,381,Дизель,57150,Не требует ремонта,2014
11060000,1,15232,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2022
7140000,1,81459,автоматическая,белый,3.0,340,Бензин,51000,Не требует ремонта,2021
3750000,1,133857,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2015
15500000,0,65,автоматическая,белый,3.0,298,Дизель,44700,Не требует ремонта,2023
4450900,1,83204,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2015
8400000,1,34557,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2021
1600000,1,193000,автоматическая,белый,3.0,306,Бензин,45900,Не требует ремонта,2010
7074000,1,75723,автоматическая,чёрный,3.0,340,Дизель,51000,Не требует ремонта,2020
4200000,1,134015,автоматическая,синий,3.0,249,Дизель,18675,Не требует ремонта,2016
7899000,1,47000,автоматическая,синий,3.0,340,Бензин,51000,Не требует ремонта,2021
1870000,1,100800,автоматическая,белый,4.4,407,Бензин,61050,Не требует ремонта,2013
4799000,1,148576,автоматическая,белый,3.0,381,Дизель,57150,Не требует ремонта,2016
4035000,1,145613,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2016
8199000,1,45636,автоматическая,белый,3.0,340,Бензин,51000,Не требует ремонта,2021
6725000,1,88585,автоматическая,белый,2.0,231,Дизель,17325,Не требует ремонта,2019
9499000,1,40000,автоматическая,чёрный,3.0,340,Дизель,51000,Не требует ремонта,2021
3790000,1,199000,автоматическая,белый,2.0,218,Дизель,14170,Не требует ремонта,2014
6725000,1,88585,автоматическая,белый,2.0,231,Дизель,17325,Не требует ремонта,2019
8799000,1,49743,автоматическая,белый,3.0,340,Дизель,51000,Не требует ремонта,2020
9499000,1,40000,автоматическая,чёрный,3.0,340,Дизель,51000,Не требует ремонта,2021
8199000,1,63747,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2021
6790000,1,99391,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2018
14700000,0,53,автоматическая,серый,3.0,298,Дизель,44700,Не требует ремонта,2023
13899000,1,316,автоматическая,серый,3.0,381,Бензин,57150,Не требует ремонта,2023
5800000,1,160000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2019
2100000,1,200000,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2013
8990000,1,64977,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2021
6889000,1,55000,автоматическая,синий,3.0,249,Дизель,18675,Не требует ремонта,2019
6500000,1,64000,автоматическая,зелёный,2.0,231,Дизель,17325,Не требует ремонта,2020
6985000,1,78261,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2019
10950000,1,27139,автоматическая,белый,4.4,530,Бензин,79500,Не требует ремонта,2020
2270000,1,177420,автоматическая,чёрный,4.4,320,Бензин,48000,Не требует ремонта,2006
8700000,1,43000,автоматическая,серый,3.0,286,Дизель,42900,Не требует ремонта,2021
8490000,1,68798,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2020
6200000,1,73333,автоматическая,серый,3.0,381,Дизель,57150,Не требует ремонта,2017
10990000,1,56000,автоматическая,серый,3.0,400,Дизель,60000,Не требует ремонта,2022
11900000,0,45,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2022
4949800,1,110000,автоматическая,синий,3.0,218,Дизель,14170,Не требует ремонта,2017
11400000,1,37988,автоматическая,синий,3.0,249,Дизель,18675,Не требует ремонта,2021
5935000,1,146694,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
8445000,1,43710,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2020
1710000,1,242500,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2010
6450000,1,63000,автоматическая,белый,3.0,265,Дизель,39750,Не требует ремонта,2019
8190000,1,40838,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2020
8850000,1,24816,автоматическая,зелёный,3.0,249,Дизель,18675,Не требует ремонта,2021
7795000,1,120000,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
7650000,1,44038,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
6800000,1,94500,автоматическая,серый,3.0,400,Дизель,60000,Не требует ремонта,2018
6415000,1,58008,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2019
5935000,1,146694,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
8445000,1,43710,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2020
1800000,1,280000,автоматическая,золотистый,3.0,306,Бензин,45900,Не требует ремонта,2011
1450000,1,280000,автоматическая,чёрный,3.0,272,Бензин,40800,Не требует ремонта,2009
6450000,1,63000,автоматическая,белый,3.0,265,Дизель,39750,Не требует ремонта,2019
8190000,1,40838,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2020
8850000,1,24816,автоматическая,зелёный,3.0,249,Дизель,18675,Не требует ремонта,2021
7795000,1,120000,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
7650000,1,44038,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
9150000,1,39843,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2021
2105000,1,282000,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2011
2999000,1,151400,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2012
9349000,1,30000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2021
1350000,1,234497,автоматическая,чёрный,4.8,355,Бензин,53250,Не требует ремонта,2007
2250000,1,147747,автоматическая,синий,3.0,306,Бензин,45900,Не требует ремонта,2013
1230000,1,271327,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2004
6775000,1,103180,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2020
7195000,1,53792,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2019
7750000,1,45111,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
8990000,1,44252,автоматическая,серый,3.0,340,Бензин,51000,Не требует ремонта,2021
6335000,1,98000,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
